"Ag-row-number","Salesforce","Salesforce.Medication_Name__c","Salesforce.Store_Name__c","Salesforce.Status__c","Salesforce.Status_Color__c","Status Color","Salesforce.Safety_Stock__c","Salesforce.Quantity__c","IST Inventory Recommendation","IST Inventory Recommendation.text","Transfer_Optimize","Transfer_Optimize.outputValues.uhText","Salesforce.Expiry_Date__c","Add Column"
"1","INV-000037","Mounjaro 5mg","CVS Downtown SF","OUT_OF_STOCK","RED","Critical","50","0","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""f147b739-05b4-4480-9441-29f947862bf0"",""safetyScoreRepresentation"":{""hateScore"":","Critical stock. Recommend initiating inter-store transfer via Transfer/Optimize action.","","","1789689600000",""
"2","INV-000038","Mounjaro 5mg","CVS Westside SF","HEALTHY","GREEN","Critical","50","200","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""a8581a45-7a2a-4c43-8ac7-48eb7433ac68"",""safetyScoreRepresentation"":{""hateScore"":","Stock levels healthy. No action required at this time.","","","1787097600000",""
"3","INV-000039","Mounjaro 5mg","CVS Eastside Oakland","HEALTHY","GREEN","Critical","40","150","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""ac7910f3-2ea9-4503-8fe5-5daf41d2d79d"",""safetyScoreRepresentation"":{""hateScore"":","Stock levels healthy. No action required at this time.","","","1784505600000",""
"4","INV-000040","Adderall XR 30mg","CVS Downtown SF","LOW","ORANGE","Critical","30","5","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""e19cf91b-e5ba-47df-bd1f-25c94d0ed478"",""safetyScoreRepresentation"":{""hateScore"":","Schedule II: Manual DEA Form 222 transfer required. No automated action available.","","","1794873600000",""
"5","INV-000041","Adderall XR 30mg","CVS San Jose Central","HEALTHY","GREEN","Adequate","20","100","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""7c43ed8a-fa1d-44e8-bbcc-1511476d38a6"",""safetyScoreRepresentation"":{""hateScore"":","Schedule II: Manual DEA Form 222 transfer required. No automated action available.","","","1792281600000",""
"6","INV-000042","Lisinopril 10mg","CVS Downtown SF","OUT_OF_STOCK","RED","Critical","60","0","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""6d7171a1-b5ee-4d6f-8b1f-6bbd1af0db04"",""safetyScoreRepresentation"":{""hateScore"":","Critical stock. Recommend initiating inter-store transfer via Transfer/Optimize action.","","","1787097600000",""
"7","INV-000043","Lisinopril 10mg","CVS Westside SF","LOW","ORANGE","Critical","50","30","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""fa158901-6c69-4849-ba71-82de2aba39c5"",""safetyScoreRepresentation"":{""hateScore"":","Stock below safety threshold. Recommend initiating inter-store transfer via Transfer/Optimize action.","","","1783209600000",""
"8","INV-000044","Ozempic 1mg","CVS San Jose Central","LOW","ORANGE","Critical","40","5","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""3fb90630-a0f9-4495-98c8-69defcfa78c5"",""safetyScoreRepresentation"":{""hateScore"":","Stock below safety threshold. Recommend initiating inter-store transfer via Transfer/Optimize action.","","","1794873600000",""
"9","INV-000045","Ozempic 1mg","CVS Downtown SF","HEALTHY","GREEN","Critical","20","100","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""df777e20-3755-426c-bb8f-1a075f13216a"",""safetyScoreRepresentation"":{""hateScore"":","Stock levels healthy. No action required at this time.","","","1780617600000",""
"10","INV-000046","Ozempic 1mg","CVS Westside SF","HEALTHY","GREEN","Adequate","20","80","{""contentQualityRepresentation"":{""isToxicityDetected"":false},""parameters"":""{content_filter_results={}, finish_reason=stop, refusal=null, index=0, logprobs=null}"",""responseId"":""cc497a12-eef3-461b-bcf8-7c1757fdd8e0"",""safetyScoreRepresentation"":{""hateScore"":","Stock levels healthy. No action required at this time.","","","1789689600000",""
